dataset	method	trial	ml	score	time
concrete	weight_parents	7	LassoLarsCV	0.684536446821	483.00891375541687
concrete	control	3	LassoLarsCV	0.586513845041	495.03448963165283
concrete	control	4	LassoLarsCV	0.541130083079	497.7207498550415
concrete	control	1	LassoLarsCV	0.592649362294	501.20131611824036
concrete	weight_parents	6	LassoLarsCV	0.55208556921	492.9640986919403
concrete	weight_parents	0	LassoLarsCV	0.547036573824	509.2017831802368
enc	control	1	LassoLarsCV	0.856301456286	502.90800070762634
concrete	weight_parents	2	LassoLarsCV	0.23312034205	516.5714566707611
concrete	control	9	LassoLarsCV	0.59048026941	531.4699931144714
enc	control	9	LassoLarsCV	0.814381555534	521.1925010681152
enc	control	2	LassoLarsCV	0.846862186236	532.1472783088684
concrete	weight_parents	9	LassoLarsCV	0.569576555245	534.6686136722565
concrete	weight_parents	1	LassoLarsCV	0.631588895716	542.3853695392609
enc	control	0	LassoLarsCV	0.885126075429	550.603798866272
enc	control	3	LassoLarsCV	0.8738108273	566.3844106197357
uball5d	weight_parents	4	LassoLarsCV	0.747656971424	557.0227570533752
enc	control	7	LassoLarsCV	0.677643622503	571.950649023056
concrete	weight_parents	3	LassoLarsCV	0.479145161895	576.3478882312775
enc	weight_parents	1	LassoLarsCV	0.87878283149	586.3974761962891
uball5d	weight_parents	6	LassoLarsCV	0.727646066394	568.9830164909363
concrete	weight_parents	5	LassoLarsCV	0.678541170897	579.6765577793121
enc	weight_parents	7	LassoLarsCV	0.845531853494	581.9673256874084
enc	weight_parents	6	LassoLarsCV	0.892274436088	588.4194056987762
concrete	control	5	LassoLarsCV	0.514200876569	589.8625175952911
concrete	control	0	LassoLarsCV	-1.35088710292	591.6960530281067
concrete	weight_parents	4	LassoLarsCV	0.669357924833	597.3467102050781
uball5d	weight_parents	8	LassoLarsCV	0.710581438538	586.9232461452484
concrete	control	6	LassoLarsCV	0.648976355033	602.9092848300934
uball5d	control	7	LassoLarsCV	0.656477655893	588.6748492717743
uball5d	weight_parents	2	LassoLarsCV	0.747663010333	597.4422359466553
concrete	control	7	LassoLarsCV	-2.03816578689	622.8842611312866
uball5d	control	9	LassoLarsCV	0.656543891682	601.9791865348816
concrete	weight_parents	8	LassoLarsCV	0.517219387641	622.5976221561432
uball5d	weight_parents	7	LassoLarsCV	0.774510739999	611.4755628108978
uball5d	weight_parents	5	LassoLarsCV	0.693303880028	617.3609502315521
uball5d	weight_parents	3	LassoLarsCV	0.739529877883	622.8697295188904
uball5d	control	3	LassoLarsCV	0.653341057471	621.4748284816742
uball5d	weight_parents	1	LassoLarsCV	0.669503766729	677.2778732776642
uball5d	control	2	LassoLarsCV	0.66577111178	673.2666068077087
uball5d	weight_parents	9	LassoLarsCV	0.657958163862	678.675760269165
uball5d	control	4	LassoLarsCV	0.688543218918	691.3954739570618
uball5d	weight_parents	0	LassoLarsCV	0.669693023378	698.3768088817596
uball5d	control	1	LassoLarsCV	0.632970940103	695.1986439228058
uball5d	control	8	LassoLarsCV	0.749560423486	703.4374132156372
uball5d	control	5	LassoLarsCV	0.795469976499	707.8092064857483
